,String,etc,Author,Title,Journal,Year,Volume,Release,Start page,End page,Link
48,"Затевахин И. И., Пасечник И. Н., Губайдуллин P. P. и др. Ускоренное восстановление после хирургических операций: мультидисциплинарная проблема. Часть 1 // Хирургия. Журнал им. Н. И. Пирогова. – 2015. – № 90. – С. 4–8. doi: 10.17116/hirurgia201594-8.",и др. проблема. Часть // – – № – С. doi:,"Затевахин И. И., Пасечник И. Н., Губайдуллин P. P. Журнал им.",Ускоренное восстановление после хирургических операций: 1,мультидисциплинарная Хирургия. Н. И. Пирогова. 4–8.,2015. 90.,-,-,-,-,10.17116/hirurgia201594-8.
49,"Затевахин И. И., Пасечник И. Н., Губайдуллин Р. Р. и др. Ускоренное восстановление после хирургических операций: мультидисциплинарная проблема. Часть 2 // Хирургия. Журнал им. Н.И. Пирогова. – 2015. – № 10. – С. 4–8. doi: 10.17116/hirurgia2015104-8.",и др. проблема. Часть // – – № – С. doi:,"Затевахин И. И., Пасечник И. Н., Губайдуллин Р. Р. Журнал им.",Ускоренное восстановление после хирургических операций: 2,мультидисциплинарная Хирургия. Н.И. Пирогова. 4–8.,2015. 10.,-,-,-,-,10.17116/hirurgia2015104-8.
50,"Захаренков И. А., Рачина С. А., Дехнич Н. Н. Этиология тяжелой внебольничной пневмонии у взрослых: результаты первого российского многоцентрового исследования // Терапевтический архив. – 2020. – Т. 1. – С. 36–42. doi:10.26442/00403660.2020.01.000491.",// – – Т. – С.,"Захаренков И. А., Рачина С. А., Дехнич Н. Н.",Этиология тяжелой внебольничной пневмонии у взрослых: результаты первого российского многоцентрового исследования,Терапевтический архив. 1. 36–42.,2020.,-,-,-,-,doi:10.26442/00403660.2020.01.000491.
51,"Захарова И. Н., Курьянинова В. А., Верисокина Н. Е. и др. Витамин D и провоспалительные цитокины у новорожденных от матерей с эндокринной патологией // Тихоокеанский медицинский журнал. – 2019. – № 4. – С. 66–69. doi: 10.34215/1609-1175-2019-4-66-69.",и др. // – – № – С. doi:,"Захарова И. Н., Курьянинова В. А., Верисокина Н. Е.",Витамин D и провоспалительные цитокины у новорожденных от матерей с эндокринной патологией,Тихоокеанский медицинский журнал. 66–69.,2019. 4.,-,-,-,-,10.34215/1609-1175-2019-4-66-69.
52,"Золотухин К. Н., Крюгер Ф., Самородов А. В. Низкий уровень антитромбина III как предиктор развития тромботических осложнений у пациентов хирургического профиля // Креативная хирургия и онкология. – 2018. – Т. 8, № 1. – С. 52–56. https://doi.org/10.24060/2076-3093-2018-8-1-52-56.",// – – – С.,"Золотухин К. Н., Крюгер Ф., Самородов А. В.",Низкий уровень антитромбина III как предиктор развития тромботических осложнений у пациентов хирургического профиля хирургия и,Креативная онкология.,2018. 1.,"Т. 8,",№,-,52–56.,-
53,"Ивкин А. А., Борисенко Д. В., Цепокина А. В. и др. Отказ от эритроцитарной массы для заполнения аппарата искусственного кровообращения как основа периоперационной профилактики церебрального повреждения у детей при кардиохирургических операциях // Анестезиология и реаниматология. – 2021. – № 4. – С. 54–61. Doi: 10.17116/anaesthesiology202104154.",и др. // – – № – С. Doi:,"Ивкин А. А., Борисенко Д. В., Цепокина А. В.",Отказ от эритроцитарной массы для заполнения аппарата искусственного кровообращения как основа периоперационной профилактики церебрального повреждения у детей при кардиохирургических операциях,Анестезиология и реаниматология. 54–61.,2021. 4.,-,-,-,-,10.17116/anaesthesiology202104154.
54,"Ивкин А. А., Григорьев Е. В., Цепокина А. В. и др. Послеоперационный делирий у детей при коррекции врожденных септальных пороков сердца // Вестник анестезиологии и реаниматологии. – 2021. – Т. 18, № 2. – С. 62–68. Doi: 10.21292/2078-5658-2021-18-2-62-6.",и др. // – – – С. Doi:,"Ивкин А. А., Григорьев Е. В., Цепокина А. В.",Послеоперационный делирий у детей при коррекции врожденных септальных пороков сердца анестезиологии и,Вестник реаниматологии. 62–68.,2021. 2.,"Т. 18,",№,-,-,10.21292/2078-5658-2021-18-2-62-6.
55,"Ивонина Н. А., Петров К. Б., Филимонов С. Н. Клинический опыт применения препарата Целлекс у пациентов с вестибулярным синдромом // Медицина в Кузбассе. – 2021. – № 4. – С. 26–31. doi.: 10.24412/2687-0053-2021-4- 26-31.",// – – № – С.,"Ивонина Н. А., Петров К. Б., Филимонов С. Н.",Клинический опыт применения препарата Целлекс у пациентов с вестибулярным синдромом,Медицина в Кузбассе. 26–31.,2021. 4.,-,-,-,doi.: 10.24412/2687-0053-2021-4-,26-31.
56,"Ильина Я. Ю., Кузьков В. В., Фот Е. В. и др. Прогнозирование ответа на инфузионную нагрузку: современные подходы и перспективы // Вестн. анестезиологии и реаниматологии. – 2017. – Т. 14, № 3. – С. 25–34. DOI: 10.21292/2078-5658-2017-14-3-25-34",и др. // – – – С. DOI:,"Ильина Я. Ю., Кузьков В. В., Фот Е. В.",Прогнозирование ответа на инфузионную нагрузку: современные подходы и перспективы анестезиологии и,Вестн. реаниматологии. 25–34.,2017. 3.,"Т. 14,",№,-,-,10.21292/2078-5658-2017-14-3-25-34
57,"Канарский М. М., Штерн М. В., Воробьева И. С. и др. Циркадианные ритмы и хроническое нарушение сознания // Физическая и реабилитационная медицина, медицинская реабилитация. – 2021 – Т. 3, № 4. – С. 340–347. doi: doi.org/10.36425/rehab63225.",и др. // – – – С. doi:,"Канарский М. М., Штерн М. В., Воробьева И. С.","Циркадианные ритмы и хроническое нарушение сознания и реабилитационная медицина, медицинская",Физическая реабилитация. 340–347.,4.,"Т. 3,",2021 №,-,-,doi.org/10.36425/rehab63225.
58,"Канарский М. М., Штерн М. В., Воробьева И. С. и др. Циркадианные ритмы и хроническое нарушение сознания // Физическая и реабилитационная медицина, медицинская реабилитация. – 2021 – Т. 3, № 4. – С. 340–347. doi: doi.org/10.36425/rehab63225.",и др. // – – – С. doi:,"Канарский М. М., Штерн М. В., Воробьева И. С.","Циркадианные ритмы и хроническое нарушение сознания и реабилитационная медицина, медицинская",Физическая реабилитация. 340–347.,4.,"Т. 3,",2021 №,-,-,doi.org/10.36425/rehab63225.
59,"Карпов О. Э., Орлова О. А., Гусаров В. Г. и др. Организация оказания медицинской помощи в федеральном многопрофильном медицинском учреждении в условиях пандемии // Вестник Росздравнадзора. – 2020. – № 4. – С. 67–75. doi: https://doi.org/10.35576/2070-7940-2020-4-67-75.",и др. // – – № – С. doi:,"Карпов О. Э., Орлова О. А., Гусаров В. Г.",Организация оказания медицинской помощи в федеральном многопрофильном медицинском учреждении в условиях пандемии,Вестник Росздравнадзора. 67–75.,2020. 4.,-,-,-,-,-
60,"Карпов О.Э., Гусаров В.Г., Замятин М.Н., Орлова О.А., Петрова Л.В., Камышова Д.А., Дементиенко М.В., Габоян Я.С., Пивкина А.И., Гриценко Е.А. Управление антибиотикорезистентностью в стационаре: современные реалии и перспективы // Клиническая микробиология и антимикробная химиотерапия. – 2020. – Т. 22. – № 4. – С. 277–286. DOI: 10.36488/cmac.2020.4.277-286.",// – – Т. – № – С. DOI:,"Карпов О.Э., Гусаров В.Г., Замятин М.Н., Орлова О.А., Петрова Л.В., Камышова Д.А., Дементиенко М.В., Габоян Я.С., Пивкина А.И., Гриценко Е.А.",Управление антибиотикорезистентностью в стационаре: современные реалии и перспективы микробиология и антимикробная,Клиническая химиотерапия. 22. 277–286.,2020. 4.,-,-,-,-,10.36488/cmac.2020.4.277-286.
61,"Кириллов А. Ю., Яворовский А. Г., Выжигина М. А. и др. Респираторная тактика во время искусственного кровообращения при кардиохирургических операциях // Вестник анестезиологии и реаниматологии. – 2021. – Т. 18, № 2. – С. 40–47. doi.org/10.21292/2078-5658-2021-18-2-40-47.",и др. // – – – С.,"Кириллов А. Ю., Яворовский А. Г., Выжигина М. А.",Респираторная тактика во время искусственного кровообращения при кардиохирургических операциях анестезиологии и,Вестник реаниматологии.,2021. 2.,"Т. 18,",№,-,40–47.,doi.org/10.21292/2078-5658-2021-18-2-40-47.
62,"Киров М. Ю., Горобец Е. С., Бобовник С. В. и др. Принципы периоперационной инфузионной терапии взрослых пациентов // Анестезиология и реаниматология. – 2018. – Т. 63, № 6. – С. 82–103. https://doi.org/10.17116/anaesthesiology201806182.",и др. // – – – С.,"Киров М. Ю., Горобец Е. С., Бобовник С. В.",Принципы периоперационной инфузионной терапии взрослых пациентов,Анестезиология и реаниматология.,2018. 6.,"Т. 63,",№,-,82–103.,-
63,"Клиническая фармакология для педиатров : учебник / под ред. Е. В. Ших, В. Н. Дроздова – М.: «ГЭОТАР-Медиа», 2021. – 1008 с. Doi: 10.33029/9704-6196-9-CPP-2021-1-1008.",ред. В. М.: – с. Doi:,Клиническая Н.,фармакология для педиатров : учебник / Дроздова,под Е. – 2021.,-,"Ших, «ГЭОТАР-Медиа»,",1008,-,В.,10.33029/9704-6196-9-CPP-2021-1-1008.
64,"Ковальчук В. В., Зуева И. Б., Нестерин К.В. и др. Применение препарата цитофлавин в неонатологии и педиатрии как фактор повышения эффективности терапии пациентов с поражением центральной нервной системы различной этиологии // Журнал неврологии и психиатрии им. С. С. Корсакова. Спецвыпуски. – 2018. – Т. 118, № 5. – С. 46–50. Doi: 10.17116/jnevro20181185246",и др. // им. – – – С. Doi:,"Ковальчук В. В., Зуева И. Б., Нестерин К.В.",Применение препарата цитофлавин в неонатологии и педиатрии как фактор повышения эффективности терапии пациентов с поражением центральной нервной системы различной этиологии неврологии и психиатрии,Журнал С. С. Корсакова. Спецвыпуски. 46–50.,2018. 5.,"Т. 118,",№,-,-,10.17116/jnevro20181185246
65,Козлов И. А. Периоперационная кардиопротекция в некардиальной хирургии: реалии и перспективы // Анестезиология и реаниматология. – 2020. – № 4. – С. 100-110. doi: 10.17116/anaesthesiology2020041100.,// – – № – С. doi:,Козлов И. А.,Периоперационная кардиопротекция в некардиальной хирургии: реалии и перспективы,Анестезиология и реаниматология.,2020. 4.,-,-,-,100-110.,10.17116/anaesthesiology2020041100.
66,"Козлов И. А., Овезов А. М., Петровская Э. Л. Периоперационные повреждение миокарда и сердечная недостаточность в некардиальной хирургии (обзор). Часть 1. Этиопатогенез и прогнозирование периоперационных кардиальных осложнений // Общая реаниматология. - 2019. - Т. 15, № 2. - С. 53-78. https://doi.org/10.15360/1813-9779-2019-2-53-78.",(обзор). // - - - С.,"Козлов И. А., Овезов А. М., Петровская Э. Л. Часть 1.",Периоперационные повреждение миокарда и сердечная недостаточность в некардиальной хирургии Этиопатогенез и прогнозирование периоперационных кардиальных осложнений,Общая реаниматология.,2019.,"Т. 15,",№ 2.,-,53-78.,-
67,"Козлов И. А., Тюрин И. Н. Сердечно-сосудистые осложнения COVID-19 // Вестник анестезиологии и реаниматологии. – 2020. – Т. 17, № 4. – С. 14-22. https://doi.org/10.21292/2078-5658-2020-17-4-14-22.",// – – – С.,"Козлов И. А., Тюрин И. Н.",Сердечно-сосудистые осложнения COVID-19 анестезиологии и,Вестник реаниматологии.,2020. 4.,"Т. 17,",№,-,14-22.,-
68,"Козлова Н. С., Баранцевич Н. Е., Баранцевич Е. П. Чувствительность к антибиотикам штаммов Klebsiella pneumoniae, выделенных в многопрофильном стационаре // Инфекция и иммунитет. – 2018. – Т. 8, № 1. doi: 10.15789/2220-7619-2018-1-79-84.",// – – doi:,"Козлова Н. С., Баранцевич Н. Е., Баранцевич Е. П.","Чувствительность к антибиотикам штаммов Klebsiella pneumoniae, выделенных в многопрофильном стационаре",Инфекция и иммунитет.,2018. 1.,"Т. 8,",№,-,-,10.15789/2220-7619-2018-1-79-84.
69,"Колеватова Л. А., Корниенко А. Н., Кецкало М. В. Влияние высокой эпидуральной блокады на функцию миокарда левого желудочка после аортокоронарного шунтирования // Общая реаниматология. – 2006. Т. 2 (1). – С. 54–58. DOI: 10.15360/1813-9779-2006-1-54-58.",// – 2006. 2 (1). – С. DOI:,"Колеватова Л. А., Корниенко А. Н., Кецкало М. В.",Влияние высокой эпидуральной блокады на функцию миокарда левого желудочка после аортокоронарного шунтирования,Общая реаниматология. 54–58.,-,-,-,-,-,Т. 10.15360/1813-9779-2006-1-54-58.
70,"Комаров С. А., Киров М. Ю. Оценка взаимосвязи биомаркера NT-proBNP с показателями гемодинамики и внесосудистой воды легких у пациентов с острым респираторным дистресс-синдромом // Вестник анестезиологии и реаниматологии. – 2015. – Т. 12, № 5. – С. 31–35. https://doi.org/10.21292/2078-5658-2015-12-5-31-35.",// – – – С.,"Комаров С. А., Киров М. Ю.",Оценка взаимосвязи биомаркера NT-proBNP с показателями гемодинамики и внесосудистой воды легких у пациентов с острым респираторным дистресс-синдромом анестезиологии и,Вестник реаниматологии.,2015. 5.,"Т. 12,",№,-,31–35.,-
71,"Конева Е. С., Серебряков А. Б., Шаповаленко Т. В. и др. Анализ 5-летнего опыта работы мультидисциплинарной бригады по протоколу fast-track-терапии после операций тотального эндопротезирования тазобедренных и коленных суставов в клинике ФГАУ «Лечебно-реабилитационный центр» Минздрава России // Физиотерапия, бальнеология и реабилитация. – 2016. – № 4. – С. 175–182. doi: 10.18821/1681-3456-2016-15-4-175-182.",и др. Минздрава // – – № – С. doi:,"Конева Е. С., Серебряков А. Б., Шаповаленко Т. В.",Анализ 5-летнего опыта работы мультидисциплинарной бригады по протоколу fast-track-терапии после операций тотального эндопротезирования тазобедренных и коленных суставов в клинике ФГАУ «Лечебно-реабилитационный центр» России бальнеология и,"Физиотерапия, реабилитация. 175–182.",2016. 4.,-,-,-,-,10.18821/1681-3456-2016-15-4-175-182.
72,"Корехова М. В., Киров М. Ю., Новикова И. А. и др. Эмоциональное состояние врачей – анестезиологов-реаниматологов в период пандемии COVID-19 // Анестезиология и реаниматология. – 2020. – № 6, вып. 2. – С. 61–67. https://doi.org/10.17116/anaesthesiology202006261.",и др. // – – № вып. – С.,"Корехова М. В., Киров М. Ю., Новикова И. А.",Эмоциональное состояние врачей – анестезиологов-реаниматологов в период пандемии COVID-19,Анестезиология и реаниматология. 2.,"2020. 6,",-,-,-,61–67.,-
73,"Корехова М. В., Соловьев А. Г., Киров М. Ю. и др. Психологические факторы профессионального выгорания врачей анестезиологов-реаниматологов // Клиническая и специальная психология. – 2019. – Т. 8, № 2. – С. 16–37. https://doi.org/: 10.17759/psyclin.2019080202.",и др. // – – – С.,"Корехова М. В., Соловьев А. Г., Киров М. Ю.",Психологические факторы профессионального выгорания врачей анестезиологов-реаниматологов и специальная,Клиническая психология.,2019. 2.,"Т. 8,",№,-,16–37.,-
74,"Корниенко А. Н., Добрушина О. Р., Зинина Е. П. Профилактика кардиальных осложнений внесердечных операций // Общая реаниматология. – 2011. – Т. 7, № 5. – С. 57–66. https://doi.org/10/15360/18139779-2011-5-57.",// – – – С.,"Корниенко А. Н., Добрушина О. Р., Зинина Е. П.",Профилактика кардиальных осложнений внесердечных операций,Общая реаниматология.,2011. 5.,"Т. 7,",№,-,57–66.,-
75,"Корниенко Е. А., Корниенко А. Н. Динамика сократительной способности миокарда у больных с нестабильной стенокардией на фоне симпатической блокады // Вестник новых медицинских технологий. – 2016. – T. 2. C. 173–178. DOI: 10.12737/19739.",// – – T. DOI:,"Корниенко Е. А., Корниенко А. Н.",Динамика сократительной способности миокарда у больных с нестабильной стенокардией на фоне симпатической блокады новых медицинских,Вестник технологий. 2. C. 173–178.,2016.,-,-,-,-,10.12737/19739.
76,"Королев А. Ю., Федорова Т. А. Пырегов А. В и др. Трансфузиологическое обеспечение абдоминального родоразрешения у беременных высокого риска развития кровотечения при контроле гемостаза // Медицинский совет. – 2020. – № 13. – С. 29–38. doi: 10.21518/2079-701X-2020-13-29-38.",др. // – – № – С. doi:,"Королев А. Ю., Федорова Т. А. Пырегов А.",В Трансфузиологическое обеспечение абдоминального родоразрешения у беременных высокого риска развития кровотечения при контроле гемостаза,и Медицинский совет. 29–38.,2020. 13.,-,-,-,-,10.21518/2079-701X-2020-13-29-38.
77,"Котвицкая З. Т., Колотова Г. Б., Руднов В. А. и др. Интраоперационные факторы риска развития инфаркта миокарда при некардиохирургических вмешательствах // Вестник анестезиологии и реаниматологии. - 2018. - Т. 15, № 2. - С. 32-37. doi: 10.21292/2078-5658-2018-15-2-32-37.",и др. // реаниматологии. - - - С. doi:,"Котвицкая З. Т., Колотова Г. Б., Руднов В. А.",Интраоперационные факторы риска развития инфаркта миокарда при некардиохирургических вмешательствах анестезиологии и,Вестник,2018.,"Т. 15,",№ 2.,-,32-37.,10.21292/2078-5658-2018-15-2-32-37.
78,"Котова Д. П., Котов С. В., Гиляров М. Ю. и др. Использование прогностических шкал в оценке периоперационных осложнений в практике врача-терапевта // Кардиоваскулярная терапия и профилактика. - 2018. - Т. 17, № 2. - С. 75-80. http://dx.doi.org/10.15829/17288800201827580.",и др. // профилактика. - - - С.,"Котова Д. П., Котов С. В., Гиляров М. Ю.",Использование прогностических шкал в оценке периоперационных осложнений в практике врача-терапевта терапия и,Кардиоваскулярная,2018.,"Т. 17,",№ 2.,-,75-80.,-
79,Кочетова Е. В. Комплексная оценка больных хронической обструктивной болезнью легких с помощью многокомпонентного индекса Ado и индекса коморбидности Charlson // Медицинский совет. – 2018. – № 12. – С. 182–184. doi: 10.21518/2079-701X-2018-12-182-184.,// – – № – С. doi:,Кочетова Е. В.,Комплексная оценка больных хронической обструктивной болезнью легких с помощью многокомпонентного индекса Ado и индекса коморбидности Charlson,Медицинский совет. 182–184.,2018. 12.,-,-,-,-,10.21518/2079-701X-2018-12-182-184.
80,"Кочкин А. А., Каданцева К. К., Лихванцев В. В. Двухкомпонентная вазопрессорная терапия септического шока // Вестник анестезиологии и реаниматологии. – 2021. – Т. 18, № 1. – С. 57–64. doi: 10.21292/2078-5658-2021-18-1-57-64.",// – – – С. doi:,"Кочкин А. А., Каданцева К. К., Лихванцев В. В.",Двухкомпонентная вазопрессорная терапия септического шока анестезиологии и,Вестник реаниматологии. 57–64.,2021. 1.,"Т. 18,",№,-,-,10.21292/2078-5658-2021-18-1-57-64.
81,"Красавцева Ю. В., Киселева М. Г., Касян Г. Р. и др. Оценка психологического статуса врачей-урологов во время пандемии COVID-19 // Урология. – 2020. – № 3. – С. 5–9. https: //doi.org/10.18565/urology.2020.3.5-9.",и др. // – – № – С. https:,"Красавцева Ю. В., Киселева М. Г., Касян Г. Р.",Оценка психологического статуса врачей-урологов во время пандемии COVID-19,Урология. 5–9.,2020. 3.,-,-,-,-,-
82,"Кудинова Г. А., Миронов П. И., Лекманов А. У. Прогностическая значимость шкал рSOFA и PELOD 2 в отношении риска летального исхода у пациентов неонатальных отделений интенсивной терапии // Российский вестник перинатологии и педиатрии. – 2020. – Т. 65, № 5. – С. 37–41. doi: 10.21508/1027-4065-2020-65-5-37-41.",// – – – С. doi:,"Кудинова Г. А., Миронов П. И., Лекманов А. У.",Прогностическая значимость шкал рSOFA и PELOD 2 в отношении риска летального исхода у пациентов неонатальных отделений интенсивной терапии вестник перинатологии и,Российский педиатрии. 37–41.,2020. 5.,"Т. 65,",№,-,-,10.21508/1027-4065-2020-65-5-37-41.
83,"Кузьмин В. В., Шадурский Н. Н. Односторонняя эпидуральная анальгезия после тотального эндопротезирования коленного сустава // Вестник анестезиологии и реаниматологии. – 2015. – Т. 12, № 4. – С. 20–25. https://doi.org/10.21292/2078-5658-2015-12-4-20-25.",// – – – С.,"Кузьмин В. В., Шадурский Н. Н.",Односторонняя эпидуральная анальгезия после тотального эндопротезирования коленного сустава анестезиологии и,Вестник реаниматологии.,2015. 4.,"Т. 12,",№,-,20–25.,-
84,"Курганский А. В., Храпов К. Н. Подходы к послеоперационному обезболиванию при операциях тотального эндопротезирования коленного и тазобедренного суставов // Вестник анестезиологии и реаниматологии. – 2018. – Т. 15, № 4. – С. 76–85. doi: 10.21292/2078-5658-2018-15-4-76-85.",// – – – С. doi:,"Курганский А. В., Храпов К. Н.",Подходы к послеоперационному обезболиванию при операциях тотального эндопротезирования коленного и тазобедренного суставов анестезиологии и,Вестник реаниматологии. 76–85.,2018. 4.,"Т. 15,",№,-,-,10.21292/2078-5658-2018-15-4-76-85.
85,"Ладожская-Гапеенко Е. Е., Храпов К. Н., Полушин Ю. С. и др. Оценка состояния микроциркуляции у больных с тяжелым течением COVID-19 методом капилляроскопии ногтевого ложа // Вестник анестезиологии и реаниматологии. - 2021. - Т. 18, № 1. - С. 27-36. https://doi.org/10.21292/2078-5658-2021-18-1-27-36.",и др. // реаниматологии. - - - С.,"Ладожская-Гапеенко Е. Е., Храпов К. Н., Полушин Ю. С.",Оценка состояния микроциркуляции у больных с тяжелым течением COVID-19 методом капилляроскопии ногтевого ложа анестезиологии и,Вестник,2021.,"Т. 18,",№ 1.,-,27-36.,-
86,"Леви Н. , Grocott П. В., Карли Ф. Оптимизация пациента до операции: четкий и настоящее вызов в расчете я-о императивны ухода // анестезиологии. - 2019. - Вып. 74 (Приложение 1). - Р. 3 –6 . doi: 10.111 1 / a nae.14502.",// - - (Приложение - –6 doi:,"Леви Н. , Grocott П. В., Карли Ф.",Оптимизация пациента до операции: четкий и настоящее вызов в расчете я-о императивны ухода /,анестезиологии. a,2019. .,74 3 10.111 1,1).,-,Вып. Р.,nae.14502.
87,"Лещенко И. В. Возможности и ограничения применения ингаляционных глюкокортикостероидов в терапии хронической обструктивной болезни легких // Пульмонология. – 2018. – Т. 28, № 5. – С. 602–612. doi. org/10.18093/0869-0189-2018-28-5-602-612.",// – – – С.,Лещенко И. В.,Возможности и ограничения применения ингаляционных глюкокортикостероидов в терапии хронической обструктивной болезни легких,Пульмонология. 602–612.,2018. 5.,"Т. 28,",№,-,doi.,org/10.18093/0869-0189-2018-28-5-602-612.
88,"Линхоева С. Б., Александрович Ю. С., Пшениснов К. В. и др. Выбор режима неинвазивной респираторной поддержки у недоношенных новорожденных в родильном зале // Анестезиология и реаниматология. – 2020. – № 2. – С. 65–71. https://doi.org/10.17116/anaesthesiology202002165.",и др. // – – № – С.,"Линхоева С. Б., Александрович Ю. С., Пшениснов К. В.",Выбор режима неинвазивной респираторной поддержки у недоношенных новорожденных в родильном зале,Анестезиология и реаниматология.,2020. 2.,-,-,-,65–71.,-
89,"Лисиченко И. А., Гусаров В. Г., Теплых Б. А. и др. Оценка глубины угнетения сознания ксеноном по шкале Kugler у пациентов пожилого и старческого возраста при эндопротезировании коленного сустава: проспективное открытое когортное исследование // Вестник интенсивной терапии им. А. И. Салтанова. – 2022. – № 2. – С. 121–131. doi.org/10.21320/1818-474X-2022-2-121-131.",и др. // им. – – № – С.,"Лисиченко И. А., Гусаров В. Г., Теплых Б. А.",Оценка глубины угнетения сознания ксеноном по шкале Kugler у пациентов пожилого и старческого возраста при эндопротезировании коленного сустава: проспективное открытое когортное исследование интенсивной терапии,Вестник А. И. Салтанова.,2022. 2.,-,-,-,121–131.,doi.org/10.21320/1818-474X-2022-2-121-131.
90,"Лодягин А. Н., Батоцыренов Б. В., Шикалова И. А. и др. Ацидоз и токсический гемолиз - цели патогенетического лечения полиорганной патологии при COVID-19 // Вестник восстановительной медицины. - 2020. - Т. 97, № 3. - С. 25-30. https://doi.org/10.38025/ 2078-1962-2020-97-3-25-3.",и др. // медицины. - - - С.,"Лодягин А. Н., Батоцыренов Б. В., Шикалова И. А.",Ацидоз и токсический гемолиз - цели патогенетического лечения полиорганной патологии при COVID-19,Вестник восстановительной,2020.,"Т. 97,",№ 3.,-,25-30.,-
91,"Луньков В. Д., Маевская М. В., Цветаева Е. К. и др. Отношение нейтрофилов к лимфоцитам как предиктор неблагоприятного исхода у пациентов с декомпенсированным циррозом печени // Российский журнал гастроэнтерологии, гепатологии, колопроктологии. – 2019. – Т. 29, № 1. – С. 47–61. https://doi.org/10.22416/1382-4376-2019-29-1-47-61.",и др. // – – – С.,"Луньков В. Д., Маевская М. В., Цветаева Е. К.","Отношение нейтрофилов к лимфоцитам как предиктор неблагоприятного исхода у пациентов с декомпенсированным циррозом печени журнал гастроэнтерологии,",Российский,"гепатологии, 2019. 1.","Т. 29,",колопроктологии. №,-,47–61.,-
92,"Малярчиков А. В., Шаповалов К. Г. Уровень удовлетворенности трудовой деятельностью и степень эмоционального «выгорания» у анестезиологов-реаниматологов, работающих в красной зоне COVID-госпиталя // Вестник анестезиологии и реаниматологии. – 2021. – Т. 18, № 2. – С. 17–22. https: //doi.org/10.21292/2078-5658-2021-18-2-17-22.",// – – – С. https:,"Малярчиков А. В., Шаповалов К. Г.","Уровень удовлетворенности трудовой деятельностью и степень эмоционального «выгорания» у анестезиологов-реаниматологов, работающих в красной зоне COVID-госпиталя анестезиологии и",Вестник реаниматологии. 17–22.,2021. 2.,"Т. 18,",№,-,-,-
93,"Мареев В. Ю., Фомин И. В., Агеев Ф. Т. и др. Клинические рекомендации ОССН - РКО - РНМОТ. Сердечная недостаточность: хроническая (ХСН) и острая декомпенсированная (ОДСН). Диагностика, профи­лактика и лечение // Кардиология. - 2018. - 58 с. (С. 8-158). https://doi.org/10.18087/cardio.2475.",и др. РКО (ОДСН). // - - с.,"Мареев В. Ю., Фомин И. В., Агеев Ф. Т. РНМОТ. 58",Клинические рекомендации ОССН - Сердечная недостаточность: хроническая (ХСН) и острая декомпенсированная профи­лактика и лечение,- Кардиология.,2018.,"Диагностика,",-,-,(С. 8-158).,-
94,"Мартынов Л. А., Матинян Н. В., Казанцев А. П. и др. Применение бронхоблокаторов при торакальных операциях при детской онкологии // Российский журнал детской онкологии и гематологии. – 2020. – № 7 (1). – С. 22–30. doi: 10.21682/2311-1267-2020-7-1-22-30.",и др. // – – (1). – С. doi:,"Мартынов Л. А., Матинян Н. В., Казанцев А. П.",Применение бронхоблокаторов при торакальных операциях при детской онкологии журнал детской онкологии и,Российский гематологии. 22–30.,2020.,-,№ 7,-,-,10.21682/2311-1267-2020-7-1-22-30.
95,"Международная классификация болезней, травм и состояний, влияющих на здоровье, 10-го пересмотра (МКБ-10) (Всемирная организация здравоохранения, 1994). Available at: https://mkb10.su/T41.3.html. http://dx.doi.org/10.21466/g.MOSLAT2.2010.",-,Международная 1994).,"классификация болезней, травм и состояний, влияющих на здоровье, 10-го пересмотра (МКБ-10) (Всемирная организация здравоохранения, Available",at:,-,-,-,-,-,-
96,"Минов А. Ф., Дзядзько А. М., Руммо О. О. Нарушения гемостаза при заболеваниях печени // Вестник трансплантологии и искусственных органов. – 2010. – Т. 2, № 12. – C. 82–91. doi: 10.15825/1995-1191-2010-2-82-91.",// – – – C. doi:,"Минов А. Ф., Дзядзько А. М., Руммо О. О.",Нарушения гемостаза при заболеваниях печени трансплантологии и искусственных,Вестник органов. 82–91.,2010. 12.,"Т. 2,",№,-,-,10.15825/1995-1191-2010-2-82-91.
97,"Мозжухина Н. В., Чомахидзе П. Ш., Полтавская М. Г. Факторы риска периоперационных кардиальных осложнений при плановых абдоминальных хирургических вмешательствах // Кардиология и сердечно-сосудистая хирургия. - 2015. - Т. 8, № 6. - С. 8-13. doi: 10.17116/kardio2015868-13.",// - - - С. doi:,"Мозжухина Н. В., Чомахидзе П. Ш., Полтавская М. Г.",Факторы риска периоперационных кардиальных осложнений при плановых абдоминальных хирургических вмешательствах и сердечно-сосудистая,Кардиология хирургия.,2015.,"Т. 8,",№ 6.,-,8-13.,10.17116/kardio2015868-13.
98,"Мокрушина О. Г., Шумихин В. С., Левитская М. В. и др. Результаты лечения пятидесяти детей с персистирующей клоакой в условиях одного центра // Российский вестник детской хирургии, анестезиологии и реаниматологии. – 2021. – Т. 1, № 3. – С. 315–323. doi: https://doi.org/10.17816/psaic985.",и др. // – – – С. doi:,"Мокрушина О. Г., Шумихин В. С., Левитская М. В.","Результаты лечения пятидесяти детей с персистирующей клоакой в условиях одного центра вестник детской хирургии, анестезиологии и",Российский реаниматологии. 315–323.,2021. 3.,"Т. 1,",№,-,-,-
